,platform,searchTime,searchQuery,searchInteractionURIs
245,,2025-02-07T15:40:12.224Z[UTC],spanish eye,[]
246,,2025-02-07T15:40:12.412Z[UTC],spanish eyes,[]
247,,2025-02-07T15:40:12.442Z[UTC],spanish eye,[]
248,,2025-02-07T15:40:12.642Z[UTC],spanish eyes,[]
249,IPHONE,2025-02-08T12:16:04.273Z[UTC],po,"['spotify:playlist:6rGugJt4KC0VcE1BUow39d', 'spotify:show:5eodRZd3qR9VT1ip1wI7xQ']"
250,IPHONE,2025-02-09T09:11:50.792Z[UTC],tommy,['spotify:search:tommy+richman']
251,IPHONE,2025-02-09T09:11:53.964Z[UTC],tommy richman,['spotify:track:5AJ9hqTS2wcFQCELCFRO7A']
252,,2025-02-11T12:16:31.399Z[UTC],jus,[]
253,,2025-02-11T12:16:31.685Z[UTC],jus,[]
254,WIN32_X86_64,2025-02-11T12:16:33.250Z[UTC],just feel be,[]
255,,2025-02-11T12:16:33.288Z[UTC],just feel be,[]
256,,2025-02-11T12:16:33.706Z[UTC],just feel better,[]
257,,2025-02-11T12:16:33.910Z[UTC],just feel better,[]
258,,2025-02-11T12:16:33.994Z[UTC],just feel better ,[]
259,,2025-02-11T12:16:34.311Z[UTC],just feel better ,[]
260,,2025-02-11T12:16:34.746Z[UTC],just feel better s,[]
261,,2025-02-11T12:16:35.422Z[UTC],just feel better steve,[]
262,,2025-02-11T12:16:35.690Z[UTC],just feel better steve,[]
263,,2025-02-11T12:16:35.818Z[UTC],just feel better steven,[]
264,,2025-02-11T12:16:35Z[UTC],just feel better s,[]
265,,2025-02-11T12:16:36.103Z[UTC],just feel better steven,[]
266,IPHONE,2025-02-13T09:47:09.733Z[UTC],blue,['spotify:search:blue+yung+kai']
267,IPHONE,2025-02-13T09:47:11.907Z[UTC],blue yung kai,['spotify:track:3be9ACTxtcL6Zm4vJRUiPG']
268,,2025-02-14T18:53:47.196Z[UTC],bl,[]
269,,2025-02-14T18:53:47.294Z[UTC],blu,[]
270,,2025-02-14T18:53:47.415Z[UTC],bl,[]
271,,2025-02-14T18:53:47.483Z[UTC],blu,[]
272,,2025-02-14T18:53:47.568Z[UTC],blue,[]
273,,2025-02-14T18:53:47.721Z[UTC],blue,[]
274,,2025-02-14T18:53:48.045Z[UTC],blue ,[]
275,,2025-02-14T18:53:48.241Z[UTC],blue ,[]
276,IPHONE,2025-02-16T06:09:20.236Z[UTC],schin,['spotify:track:42gZM6AQ9BDMaTyTmMDVlN']
277,,2025-02-16T07:12:21.360Z[UTC],ob,[]
278,,2025-02-16T07:12:21.429Z[UTC],ob,[]
279,IPHONE,2025-02-16T07:12:22.492Z[UTC],obito,['spotify:track:2f4kgtjCUyT7vCylHK3yfi']
280,WIN32_X86_64,2025-02-20T19:28:17.677Z[UTC],l,[]
281,,2025-02-20T19:28:17.678Z[UTC],lu,[]
282,,2025-02-20T19:28:17.714Z[UTC],l,[]
283,,2025-02-20T19:28:17.842Z[UTC],lu,[]
284,WIN32_X86_64,2025-02-20T19:28:18.237Z[UTC],lut,[]
285,,2025-02-20T19:28:18.275Z[UTC],lut,[]
286,,2025-02-20T19:28:18.347Z[UTC],luth,[]
287,,2025-02-20T19:28:18.541Z[UTC],luth,[]
288,,2025-02-20T19:28:18.838Z[UTC],luther,[]
289,,2025-02-20T19:28:19.150Z[UTC],luther,[]
290,IPHONE,2025-03-03T11:17:41.128Z[UTC],luther,['spotify:track:45J4avUb9Ni0bnETYaYFVJ']
291,,2025-03-06T16:14:24.713Z[UTC],you,[]
292,,2025-03-06T16:14:24.790Z[UTC],you,[]
293,,2025-03-06T16:14:24.821Z[UTC],you ,[]
294,,2025-03-06T16:14:24.909Z[UTC],you ,[]
295,,2025-03-06T16:14:25.025Z[UTC],you a,[]
296,,2025-03-06T16:14:25.033Z[UTC],you an,[]
297,,2025-03-06T16:14:25.089Z[UTC],you a,[]
298,,2025-03-06T16:14:25.091Z[UTC],you an,[]
299,,2025-03-06T16:14:25.178Z[UTC],you and,[]
300,,2025-03-06T16:14:25.223Z[UTC],you and ,[]
301,,2025-03-06T16:14:25.270Z[UTC],you and,[]
302,,2025-03-06T16:14:25.277Z[UTC],you and ,[]
303,,2025-03-06T16:14:25.351Z[UTC],you and m,[]
304,,2025-03-06T16:14:25.418Z[UTC],you and m,[]
305,,2025-03-06T16:14:25.460Z[UTC],you and me,[]
